device_id,status,timestamp
1,1,17-07-2023 11:34
2,1,17-07-2023 11:34
3,1,17-07-2023 11:34
4,1,17-07-2023 11:34
5,1,17-07-2023 11:34
1,1,17-07-2023 11:39
2,1,17-07-2023 11:39
3,1,17-07-2023 11:39
4,1,17-07-2023 11:39
5,1,17-07-2023 11:39
1,1,17-07-2023 11:44
2,1,17-07-2023 11:44
3,1,17-07-2023 11:44
4,1,17-07-2023 11:44
5,1,17-07-2023 11:44
1,1,17-07-2023 11:49
2,0,17-07-2023 11:49
3,1,17-07-2023 11:49
4,0,17-07-2023 11:49
5,1,17-07-2023 11:49
1,1,17-07-2023 15:24
2,1,17-07-2023 15:24
3,1,17-07-2023 15:24
4,1,17-07-2023 15:24
5,0,17-07-2023 15:24
1,1,17-07-2023 15:29
2,1,17-07-2023 15:29
3,1,17-07-2023 15:29
4,1,17-07-2023 15:29
5,0,17-07-2023 15:29
1,1,17-07-2023 15:43
2,1,17-07-2023 15:43
3,1,17-07-2023 15:43
4,1,17-07-2023 15:43
5,0,17-07-2023 15:43
